Player,Matches,Batting Avg,Strike Rate,Bowling Economy,Bowling Avg Wickets
Gurnoor Brar,1,0.0,0.0,11.14,0.0
AJ Hosein,1,16.0,145.45,10.0,1.0
Akash Madhwal,17,8.0,57.14,8.97,1.41
R Goyal,1,0.0,0.0,8.25,0.0
Vivrant Sharma,2,69.0,140.82,9.71,0.0
JE Root,2,10.0,66.67,7.0,0.0
MD Shanaka,3,13.0,100.0,0.0,0.0
Sanvir Singh,5,12.5,113.64,0.0,0.0
Nithish Kumar Reddy,25,28.53,126.96,9.51,0.2
H Sharma,2,0.0,0.0,11.4,0.0
R Ravindra,18,27.53,138.59,3.5,0.0
SD Hope,9,26.14,146.4,0.0,0.0
Sumit Kumar,3,9.0,69.23,9.82,0.0
MA Starc,25,3.75,68.18,9.26,1.24
N Burger,5,0.0,0.0,7.89,1.4
L Wood,2,9.0,300.0,14.37,0.5
SZ Mulani,2,1.0,100.0,9.82,0.0
Azmatullah Omarzai,15,12.38,128.57,9.02,0.8
Naman Dhir,19,28.0,173.45,8.49,0.0
G Coetzee,14,5.17,93.94,9.14,1.07
SH Johnson,9,8.0,72.73,9.63,0.56
Sameer Rizvi,9,24.57,136.51,0.0,0.0
KT Maphaka,4,8.0,266.67,11.66,0.5
M Siddharth,5,0.0,0.0,7.78,0.6
MP Yadav,6,0.0,0.0,8.23,1.5
SB Dubey,11,23.17,159.77,0.0,0.0
A Raghuvanshi,18,28.94,142.02,0.0,0.0
Ashutosh Sharma,18,32.75,153.52,0.0,0.0
Saurav Chauhan,3,6.0,112.5,0.0,0.0
Kumar Kushagra,3,1.0,42.86,0.0,0.0
BR Sharath,1,2.0,40.0,0.0,0.0
KA Maharaj,2,1.0,50.0,6.5,1.0
WG Jacks,20,28.94,151.31,8.65,0.4
J Fraser-McGurk,15,27.5,189.66,0.0,0.0
Tanush Kotian,1,24.0,75.0,0.0,0.0
Arshad Khan (2),1,5.0,125.0,10.15,0.0
S Joseph,1,0.0,0.0,7.4,0.0
N Thushara,8,0.0,0.0,7.97,1.12
LB Williams,2,1.0,50.0,8.71,0.5
AA Kulkarni,2,4.5,112.5,0.0,0.0
RJ Gleeson,3,2.0,100.0,8.63,0.67
MJ Suthar,1,1.0,50.0,13.0,0.0
A Kamboj,11,8.0,106.67,8.39,0.91
